time_ms,cwnd
27302,21
27422,120
27541,91
27660,146
27779,148
27899,178
28019,152
28138,152
28258,152
28378,178
28498,52
28618,52
28738,52
28857,34
28977,34
29095,34
29215,28
29334,26
29452,24
29571,20
29691,20
29809,18
29929,18
30048,16
30168,16
30288,18
30408,16
30528,16
30648,18
30767,16
30886,16
31006,16
31125,16
31244,16
31363,16
31482,16
31600,16
31718,16
31836,18
31954,16
32072,16
32191,16
32309,16
32428,16
32546,18
32665,18
32783,18
32901,16
33021,16
33140,16
33263,16
33388,16
33511,16
33631,18
33751,18
33872,18
33993,20
34113,18
34235,18
34355,18
34475,18
34595,18
34715,18
34840,20
34958,18
35077,18
35195,18
35314,18
35434,18
35553,18
35672,20
35791,18
35909,18
36028,18
36146,18
36264,18
36383,18
36501,20
36620,18
36738,18
36857,18
36976,18
37094,18
37212,18
37333,4
37451,4
37571,26
37689,28
37808,32
37926,32
38044,34
38163,34
38281,38
38399,36
38517,36
38636,36
38754,36
38873,36
38991,36
39109,36
39227,36
39346,36
39464,36
39583,36
39701,36
39820,36
39938,36
40057,36
40176,38
40294,36
40413,38
40531,38
40650,38
40768,40
40886,38
41005,38
41124,38
41243,38
41361,38
41480,38
41598,38
41717,38
41835,38
41954,40
42072,48
42190,48
42308,50
42426,50
42544,50
42663,50
42782,50
42900,50
43018,44
43137,46
43256,42
43374,42
43493,42
43611,42
43730,42
43848,36
43966,36
44084,36
44203,36
44320,32
44439,32
44557,32
44675,32
44792,32
44911,32
45030,32
45149,32
45267,30
45386,30
45504,30
45622,30
45740,30
45860,30
45978,30
46096,30
46214,32
46332,30
46450,30
46571,28
46690,28
46808,30
46926,30
47044,30
47163,30
47282,30
47400,30
47519,30
47638,4
47756,4
47876,44
47995,68
48114,78
48232,78
48350,78
48468,80
48587,78
48705,78
48824,78
48942,78
49060,78
49179,78
49297,78
49416,78
49534,78
49653,70
49771,70
49890,70
50008,66
50127,66
50245,66
50363,66
50482,68
50600,68
50718,68
50836,70
50954,68
51072,68
51190,68
51309,68
51427,68
51545,68
51663,62
51781,64
51899,66
52017,66
52136,72
52254,72
52374,72
52493,72
52611,72
52728,72
52847,68
52965,66
53083,66
53201,72
53319,70
53437,70
53555,70
53673,70
53792,70
53910,70
54029,62
54147,64
54265,62
54383,62
54502,62
54621,64
54739,68
54857,68
54975,68
55093,70
55211,68
55329,68
55448,68
55566,68
55684,62
55802,62
55920,62
56038,66
56156,70
56273,70
56392,70
56510,70
56628,70
56747,66
56865,66
56983,68
57102,72
57220,72
57338,72
57457,72
57574,72
57692,72
57810,72
57927,4
58045,4
58162,42
58280,46
58398,50
58516,48
58634,48
58751,48
58869,42
58987,42
59105,42
59222,42
59340,44
59458,40
59575,40
59693,40
59811,38
59928,36
60046,36
60164,36
60282,36
60399,34
60517,34
60635,34
60753,34
60871,34
60989,30
61107,32
61224,32
61342,32
61460,34
61578,36
61696,36
61814,38
61932,36
62050,34
62168,34
62285,34
62402,34
62521,34
62639,30
62756,30
62874,30
62992,32
63110,30
63228,30
63346,30
63464,32
63582,32
63700,32
63818,32
63936,34
64054,32
64172,32
64290,32
64408,32
64526,32
64644,32
64762,32
64881,34
64998,34
65117,34
65235,34
65353,34
65471,34
65590,34
65708,34
65827,34
65945,32
66063,32
66181,32
66300,32
66418,34
66536,32
66653,32
66771,32
66889,32
67008,32
67126,32
67244,32
67363,32
67480,32
67599,32
67717,34
67835,36
67953,34
68072,34
68190,4
68308,4
68426,38
68544,44
68663,44
68782,44
68900,46
69018,48
69137,40
69255,40
69373,40
69491,42
69609,40
69729,40
69847,36
69966,36
70085,34
70204,34
70322,34
70441,32
70559,32
70678,32
70797,32
70917,32
71035,32
71153,32
71272,30
71391,30
71510,32
71629,32
71747,32
71866,32
71984,34
72103,32
72221,30
72339,32
72458,32
72576,34
72694,32
72812,32
72931,32
73049,32
73168,32
73287,32
73406,32
73525,32
73643,32
73762,30
73880,32
73999,30
74118,30
74236,30
74355,32
74473,32
74591,32
74710,32
74828,32
74946,32
75065,32
75185,34
75304,32
75423,32
75541,32
75659,32
75777,32
75896,32
76015,32
76133,34
76252,32
76371,32
76490,30
76608,30
76727,30
76846,32
76965,32
77083,34
77202,32
77320,32
77438,32
77557,30
77676,30
77796,30
77915,30
78036,32
78157,30
78275,30
78395,4
78514,4
78633,27
78752,42
78872,44
78990,48
79109,48
79228,48
79347,42
79466,40
79585,40
79704,40
79823,40
79941,36
80060,36
80178,36
80297,36
80416,36
80539,34
80657,36
80776,34
80895,34
81014,34
81133,34
81252,34
81372,34
81492,34
81611,34
81729,32
81849,32
81968,32
82089,32
82209,32
82328,32
82448,34
82567,36
82686,34
82805,36
82925,34
83043,34
83162,34
83281,34
83401,34
83520,34
83640,34
83760,34
83880,34
83999,34
84119,34
84239,34
84358,34
84477,34
84597,34
84716,34
84835,36
84953,34
85072,36
85191,34
85310,34
85429,34
85549,34
85667,34
85785,32
85904,34
86022,34
86141,34
86260,34
86379,28
86497,28
86616,28
86734,30
86852,30
86971,32
87089,32
87208,32
87326,32
87445,32
87563,32
87682,32
87800,32
87918,32
88036,32
88155,32
88274,34
88392,32
88510,32
88628,32
88747,4
88865,4
88984,42
89102,46
89220,46
89338,46
89456,48
89575,48
89693,40
89811,42
