time_ms,cwnd
35250,27
35369,126
35488,200
35607,200
35727,200
35845,225
35965,270
36085,270
36204,270
36323,270
36441,270
36559,270
36678,270
36797,270
36916,270
37034,270
37153,270
37272,270
37390,270
37508,360
37626,405
37745,450
37865,450
37983,450
38102,540
38220,630
38338,630
38456,675
38574,720
38693,765
38811,810
38929,810
39047,900
39166,900
39284,900
39402,945
39521,990
39639,990
39757,990
39875,990
39993,990
40111,990
40230,990
40348,990
40466,990
40585,990
40704,990
40823,990
40941,990
41060,990
41178,990
41296,990
41414,990
41533,990
41651,990
41769,990
41888,990
42006,990
42124,990
42243,990
42362,990
42480,990
42599,990
42718,990
42836,990
42954,990
43073,990
43191,990
43309,990
43428,990
43546,990
43665,990
43783,990
43901,990
44020,990
44140,990
44260,990
44378,990
44496,990
44614,990
44733,992
44851,996
44970,1001
45089,1005
45207,1010
45325,1014
45443,1017
45562,1021
45680,1026
45799,1030
45917,1035
46034,1039
46153,1041
46271,1046
46390,1050
46509,1055
46627,1059
46745,1064
46863,1066
46981,1071
47099,1075
47218,1077
47336,1082
47455,1086
47574,1091
47693,1093
47811,1098
47930,1102
48049,1107
48167,1111
48285,1113
48403,1117
48522,1120
48640,1125
48759,1127
48878,1131
48998,1136
49116,1138
49235,1143
49354,1145
49471,1149
49590,1152
49708,1156
49827,1161
49945,1165
50063,1167
50181,1171
50300,1174
50418,1176
50536,1181
50654,1183
50772,1185
50890,1190
51008,1192
51126,1197
51245,1199
51364,1202
51482,1206
51600,1210
51718,1212
51836,1217
51955,1219
52073,1224
52191,1226
52309,1230
52428,1232
52546,1233
52664,1235
52782,1239
52900,1242
53018,1244
53136,1247
53255,1250
53372,1253
53492,1255
53610,1260
53728,1262
53846,1263
53965,1266
54083,1271
54201,1273
54319,1278
54437,1281
54555,1284
54673,1287
54792,1295
54910,1299
55029,1304
55147,1306
55265,1309
55383,1314
55501,1321
55619,1331
55737,1334
55855,1346
55973,1354
56092,1362
56210,1372
56329,1373
56447,1391
56565,1400
56683,1411
56801,1418
56919,1430
57037,1441
57156,1461
57274,1475
57392,1486
57510,1501
57630,1508
57748,1520
57867,1531
57985,1546
58103,1561
58222,1576
58339,1591
58457,1606
58575,1606
58694,1621
58812,1636
58930,1651
59048,1666
59167,1676
59286,1681
59404,1704
59522,1738
59641,1740
59759,1770
59877,1786
59995,1797
60113,1808
60231,1851
60349,1876
60467,1911
60585,1921
60703,1932
60822,1964
60940,1988
61058,2011
61176,2033
61294,2056
61412,2078
61530,1945
61648,1945
61767,1887
61885,1824
62004,1781
62121,1768
62239,1768
62357,1718
62475,1718
62594,1718
62712,1514
62831,1455
62949,1455
63067,1448
63185,1448
63302,1328
63420,1328
63539,1328
63657,1328
63775,1283
63893,1193
64011,1193
64129,1117
64246,1117
64365,1117
64484,1117
64602,1117
64720,802
64838,804
64957,777
65076,751
65194,724
65313,724
65432,724
65550,655
65669,604
65787,604
65906,604
66025,596
66146,540
66264,508
66383,476
66501,419
66619,419
66737,368
66856,368
66974,354
67092,354
67210,354
67328,357
67446,359
67565,359
67683,360
67801,362
67919,366
68038,368
68156,372
68274,373
68393,351
68511,344
68631,343
68748,343
68867,340
68985,340
69103,340
69222,331
69340,331
69458,322
69576,322
69694,320
69813,320
69931,320
70049,320
70168,323
70286,327
70405,331
70524,335
70643,350
70761,351
70879,354
70997,366
71116,381
71235,391
71354,397
71473,403
71591,412
71709,416
71827,1018
71946,1018
72064,1019
72182,1021
72300,1022
72418,1024
72536,1026
72654,1027
72772,1029
72890,1031
73009,1034
73127,1035
73245,1042
73363,1045
73482,1049
73600,1053
73718,1057
73836,1060
73955,1065
74073,1068
74191,1073
74309,1076
74427,1080
74546,1088
74665,1092
74783,1095
74901,1099
75019,1103
75137,1107
75255,1110
75373,1114
75491,1117
75609,1120
75727,1121
75845,1125
75963,1128
76081,1132
76199,1132
76317,1135
76436,1139
76554,1139
76672,1142
76790,1145
76908,1151
77026,1152
77144,1155
77262,1158
77380,1163
77498,1166
77617,1168
77735,1171
77853,1173
77971,1176
78090,1178
78208,1180
78327,1182
78444,1184
78562,1187
78681,1188
78799,1189
78917,1190
79035,1192
79153,1193
79271,1195
79390,1195
79508,1196
79626,1198
79745,1198
79863,1199
79981,1201
80099,1202
80217,1204
80335,1205
80453,1206
80571,1207
80690,1208
80809,1210
80926,1210
81045,1212
81164,1213
81282,1214
81401,1214
81519,1215
81637,1216
81756,1217
81876,1218
81995,1218
82113,1219
82232,1219
82351,1220
82469,1221
82586,1221
82705,1222
82823,1223
82941,1223
83059,1224
83177,1224
83295,1226
83413,1226
83531,1228
83650,1229
83769,1229
83888,1230
84006,1232
84125,1233
84244,1234
84363,1236
84481,1238
84599,1238
84717,1241
84836,1243
84955,1244
85074,1246
85193,1248
85310,1250
85429,1252
85547,1253
85665,1254
85783,1256
85902,1257
86020,1260
86138,1261
86257,1263
86375,1265
86493,1266
86611,1270
86729,1270
86847,1273
86966,1280
87084,1283
87202,1286
87320,1287
87438,1291
87556,1297
87674,1304
87792,1309
87911,1313
88029,1318
88147,1323
88266,1328
88384,1333
88502,1338
88620,1343
88738,1349
88857,1360
88976,1365
89095,1371
89215,1371
89333,1378
89452,1379
89570,1386
89689,1394
89807,1401
89926,1403
90044,1409
90162,1419
90280,1422
90399,1428
90517,1437
90635,1446
90753,1463
90871,1466
90990,1475
91109,1486
91227,1497
91345,1520
91463,1531
91582,1538
91700,1554
91818,1563
91937,1576
92055,1587
92174,1599
92292,1610
92410,1621
92529,1632
92647,1648
92765,1674
92884,1685
93002,1693
93121,1701
93239,1712
93357,1719
93475,1731
93594,1734
93712,1749
93830,1652
