time_ms,cwnd
9995,50
10113,151
10231,200
10351,200
10470,200
10589,270
10708,270
10828,270
10947,270
11066,270
11186,270
11305,270
11426,270
11544,270
11662,270
11781,270
11899,270
12018,270
12135,360
12254,405
12372,450
12492,450
12611,450
12730,495
12850,540
12969,585
13087,630
13206,675
13324,718
13443,766
13562,811
13682,856
13801,901
13920,991
14038,1036
14156,1081
14275,1126
14394,1162
14512,1216
14630,1261
14749,1306
14867,1352
14985,1397
15105,1442
15224,1449
15342,1487
15461,1532
15580,1577
15698,1577
15817,1622
15936,1667
16055,1712
16173,1757
16292,1802
16410,1847
16529,1892
16651,1937
16770,1982
16889,2027
17008,2117
17126,2162
17245,2207
17364,2252
17483,2297
17601,2342
17719,2387
17837,2432
17956,2477
18074,2521
18193,2568
18312,2613
18430,2658
18549,2703
18667,2793
18785,2793
18904,2826
19022,2838
19140,2883
19259,2928
19378,2973
19496,2973
19615,3018
19733,3063
19851,3108
19969,3108
20088,3153
20206,3198
20325,3243
20443,3245
20561,3288
20679,3333
20798,3333
20916,3378
21034,3263
21152,3128
21270,3060
21389,2993
21508,2925
21626,2858
21745,2790
21863,2700
21982,2678
22100,2610
22219,2543
22338,2475
22457,2408
22576,2340
22695,2273
22814,2250
22934,2183
23053,2160
23171,2115
23289,2048
23407,2025
23526,1958
23645,1890
23764,1823
23883,1800
24002,1733
24120,1689
24239,1689
24358,1689
24477,1689
24596,1689
24715,1689
24834,1689
24954,1689
25072,1689
25191,1689
25310,1689
25429,1689
25547,1689
25665,1689
25783,1689
25901,1689
26019,1689
26138,1689
26257,1689
26375,1689
26494,1689
26612,1689
26731,1689
26849,1689
26967,1689
27086,1689
27204,1689
27323,1689
27441,1689
27560,1689
27678,1689
27796,1689
27914,1689
28033,1689
28151,1689
28269,1689
28387,1683
28506,1638
28624,1638
28742,1593
28861,1500
28979,1475
29097,1471
29216,1469
29334,1467
29452,1465
29571,1463
29690,1461
29809,1459
29928,1457
30047,1455
30167,1453
30287,1451
30406,1451
30526,1449
30646,1450
30764,1428
30883,1428
31002,1429
31121,1409
31239,1340
31357,1319
31475,1214
31593,1157
31713,1154
31831,1130
31949,1096
32067,1056
32185,1016
32304,995
32422,967
32541,946
32659,941
32778,941
32896,941
33015,941
33134,941
33252,937
33370,937
33488,892
33607,892
33725,845
33844,845
33962,824
34081,797
34199,782
34317,767
34436,719
34554,719
34673,712
34791,689
34911,657
35030,640
35150,640
35269,640
35388,640
35506,640
35625,640
35743,640
35861,640
35980,640
36099,206
36217,207
36335,209
36453,214
36572,214
36690,219
36808,221
36927,844
37045,844
37164,844
37281,844
37400,844
37518,844
37638,844
37757,844
37877,844
37996,844
38114,844
38233,844
38353,844
38472,844
38590,844
38709,844
38828,844
38947,844
39066,844
39184,844
39303,844
39421,844
39540,844
39658,844
39776,844
39895,845
40014,845
40132,845
40250,845
40368,845
40486,845
40604,845
40723,845
40841,845
40959,845
41077,845
41195,845
41313,845
41431,845
41549,845
41668,845
41790,845
41910,845
42028,845
42146,846
42264,846
42382,846
42501,846
42619,846
42737,846
42856,846
42974,846
43092,846
43210,846
43328,846
43447,846
43566,846
43684,846
43802,846
43920,846
44039,846
44158,846
44276,846
44395,847
44513,847
44632,847
44750,847
44869,847
44987,847
45105,847
45223,847
45341,847
45461,847
45580,847
45699,847
45818,847
45937,847
46056,847
46174,847
46293,847
46411,847
46530,847
46649,848
46768,848
46886,848
47005,848
47123,848
47242,848
47361,848
47479,848
47597,848
47715,848
47834,848
47952,848
48070,848
48188,848
48306,848
48425,848
48543,848
48661,848
48780,848
48898,848
49017,849
49135,849
49253,849
49371,849
49489,849
49608,849
49726,849
49844,849
49962,849
50080,849
50198,849
50316,849
50434,849
50553,849
50670,849
50788,849
50906,849
51025,849
51143,849
51261,849
51380,850
51498,850
51616,850
51734,850
51852,850
51970,850
52089,850
52207,850
52326,850
52444,850
52562,850
52681,850
52799,850
52917,850
53036,850
53154,850
53272,850
53390,850
53508,850
53627,851
53746,851
53864,851
53982,851
54101,851
54219,851
54337,851
54457,851
54576,851
54695,851
54814,851
54932,851
55051,851
55169,851
55287,851
55406,851
55524,851
55642,851
55760,851
55879,851
55997,852
56115,852
56233,852
56352,852
56470,852
56588,852
56706,852
56825,852
56943,852
57061,852
57179,852
57297,852
57415,852
57534,852
57653,852
57771,852
57889,852
58007,852
58125,852
58244,853
58363,853
58481,853
58600,853
58718,853
58836,853
58954,853
59072,853
59191,853
59310,853
59429,853
59549,853
59667,853
59785,853
59903,853
60021,853
60140,853
60258,853
60376,853
60498,854
60620,854
60738,854
60856,854
60974,854
61092,854
61211,854
61329,854
61448,854
61567,854
61684,854
61802,854
61920,854
62038,854
62157,854
62275,854
62393,854
62512,854
62630,854
62749,854
62867,855
62985,855
63103,855
63221,855
63339,855
63457,855
63575,855
63693,855
63812,855
63931,855
64050,855
64168,855
64287,855
64405,855
64523,855
64642,855
64761,855
64879,855
64997,855
65115,855
65233,856
65352,856
65471,856
65589,856
65707,856
65825,856
65944,856
66062,856
66180,856
66299,856
66417,856
66535,856
66653,856
66772,856
66890,856
67009,856
67127,856
67246,856
67363,856
67482,857
67600,857
67718,857
67837,857
67955,857
68073,857
68192,857
68310,857
68428,857
68547,857
68664,857
68783,857
68901,857
69020,857
69138,857
69256,857
69374,857
69492,857
69611,857
69729,857
69847,858
69965,858
70084,858
70202,858
70321,858
70438,858
70557,858
70676,858
70794,858
70913,858
71031,858
71150,858
71268,858
71386,858
71504,858
71623,858
71742,858
71860,858
71979,858
72097,859
72215,859
72333,859
72451,859
72570,859
72688,859
72806,859
72925,859
73043,859
73162,859
73280,859
73399,859
73517,859
73634,859
73753,859
73871,859
73990,859
74108,859
74227,859
74346,859
74464,859
74583,860
74701,860
74819,860
74937,860
75056,860
75174,860
75292,860
75411,860
75529,860
75648,860
75766,860
75885,860
76004,860
76122,860
76241,860
76360,860
76479,860
76598,860
76716,860
76834,861
76953,861
77071,861
77189,861
77308,861
77428,861
77548,861
77666,861
77785,861
77903,861
78022,861
78140,861
78258,861
78376,861
78495,861
78614,861
78733,861
78852,861
78971,861
79090,861
79208,862
79326,862
79444,862
79562,862
79682,862
79801,862
79922,862
80048,862
80167,862
80286,862
80405,862
80526,862
80645,862
80764,862
80884,862
81004,862
81124,862
81244,862
81365,862
81484,863
81604,863
81724,863
81844,863
81964,863
82083,863
82203,863
82322,863
82443,863
82562,863
82683,863
82802,863
82922,863
83041,863
